GSM_ID,XIST,TYROBP,DOCK2,FCER1G,GSTA4,ABCC2,TIMELESS,ACBD5,LMAN1,KIFAP3,PCTK2,SNCA,RPS27,RPS18,PCBP2,STIP1,HSPA1A,DOPEY1,ENPP2,GAB2,TUBB4,ACTG1,SLC22A2,AGTR1,ZIC2,TEKT1,FANK1,HYDIN,MED6,SFRS3,PPP2R5A,RNASE11,LAMP2,P2RX7,MID1IP1,GJA1,STON2,CST3,CREBBP,ABCC11,MDGA1,SNAP91,BSN,GLS,DTL,UBE2C,BUB1,RFX4,DGCR6,AQP4,MT1M,AMPD1,EGR2,PDGFB
GSM1090270_nd_f,0.36174,-0.05709,-0.00269,-0.07833,0.085298,-0.08218,-0.04137,-0.06844,0.037281,-0.01507,-0.00897,-0.09654,-0.00263,0.033941,0.068609,-0.15946,-0.47477,0.072261,-0.1611,-0.08296,0.076485,0.04524,0.019947,-0.08937,0.106179,-0.11339,-0.08244,-0.03954,0.031731,0.121671,-0.02073,0.037981,-0.13419,-0.22034,-0.29243,0.167914,-0.01854,0.179699,0.05105,0.050074,0.120292,0.05382,0.069934,-0.1833,0.052695,-0.03075,0.030021,0.004663,0.015067,0.06411,-0.13137,0.122972,0.42396,0.037652
GSM1090295_nd_f,0.329177,-0.22966,-0.25787,-0.1081,0.085567,0.003656,-0.02492,-0.16159,-0.02774,-0.05604,-0.0209,0.004853,0.063144,0.121264,0.04937,-0.10346,-0.50651,0.011972,-0.62573,-0.21561,0.035336,-0.05235,0.262924,-0.10476,0.087779,-0.12055,-0.08465,-0.11613,-0.06018,-0.00475,0.012038,0.004176,-0.3057,-0.2657,-0.41946,0.043448,-0.00493,0.156756,0.053249,0.12497,0.198984,0.006746,0.032452,-0.09184,-0.02,-0.0185,-0.02553,0.092154,0.058755,0.25945,0.038817,0.058811,-0.41555,0.051037
GSM1090299_nd_f,0.429326,-0.17202,-0.13985,-0.12495,0.048365,-0.03889,0.044486,-0.09084,-0.01745,0.01188,-0.07499,0.006635,0.025436,0.108491,-0.04719,-0.06708,-0.25286,0.063275,-0.0548,-0.07875,-0.00056,0.005149,-0.01152,-0.00301,-0.02269,0.049103,0.055004,0.086297,-0.00318,0.055641,0.006967,0.017537,-0.14038,-0.18025,-0.22111,-0.17932,-0.05086,0.029319,-0.06734,0.050295,-0.12221,0.010444,-0.01799,-0.00074,0.033578,-0.01896,0.075085,-0.12746,-0.03498,-0.16936,-0.39538,0.026158,-0.13268,-0.01281
GSM1090312_nd_f,0.464032,-0.46511,-0.27316,-0.22107,0.137818,-0.0605,-0.00312,-0.11329,0.043676,0.088344,0.001655,0.044039,0.005121,0.001272,0.114659,-0.08016,-0.66948,0.072594,-0.47756,-0.31898,0.09082,-0.01066,0.011232,0.064022,0.065285,-0.01129,-0.08658,0.014125,0.078148,0.121028,0.03196,0.028989,-0.30579,-0.25524,-0.49911,-0.32869,-0.10534,-0.21713,-0.00366,0.042248,-0.02594,0.12318,0.023939,0.017487,0.028869,-0.02843,0.010042,-0.20242,-0.09744,-0.35045,-0.43322,0.11802,2.57E-06,-0.04064
GSM1090335_nd_f,0.382801,-0.16734,-0.22909,0.007153,-0.04123,0.098206,-0.029,-0.20202,0.006748,-0.08463,-0.17911,-0.04168,0.091496,0.247876,0.021447,0.251182,0.229481,-0.22256,-0.83656,-0.29347,-0.08385,-0.12589,0.050677,0.074178,0.154116,0.080069,-0.02674,-0.02924,-0.00548,-0.07129,-0.00836,0.040675,-0.31737,-0.0612,-0.41078,0.026313,-0.0623,-0.07587,0.122547,0.006519,0.271879,0.015616,0.144746,0.079311,0.081481,0.074757,0.009575,0.032139,-0.01912,-0.09967,-0.10631,0.139763,-0.29482,-0.07747
GSM1090353_nd_f,0.37274,-0.37543,-0.27068,-0.25833,0.11358,-0.0474,-0.00754,0.055705,0.134332,0.112366,0.118893,0.029561,-0.04256,0.030163,0.07202,-0.02087,-0.4782,0.085029,-0.30124,-0.20981,0.101938,-0.07026,0.060161,0.168303,0.032599,-0.08791,-0.05829,-0.07222,0.017144,0.092338,0.025985,0.00282,-0.1851,-0.32731,-0.37054,0.04759,-0.06144,0.04231,0.013205,0.043201,-0.07093,0.126524,-0.03889,0.0018,0.040637,-0.05236,0.030381,-0.01814,-0.0935,-0.01746,-0.46318,0.048148,-0.27155,-0.01855
GSM1090364_nd_f,0.433691,-0.59866,-0.35867,-0.32936,0.133479,-0.0771,-0.071,-0.1172,0.031903,0.058867,-0.0077,0.031094,-0.0213,0.095871,0.058898,-0.07955,-0.63028,0.09759,-0.37682,-0.15005,0.051555,-0.04744,0.00542,0.064991,0.055912,-0.04288,0.010424,-0.01658,0.042255,0.099717,-0.03051,0.094831,-0.24646,-0.2138,-0.32781,-0.20728,-0.01135,-0.04725,0.015866,-0.01566,-0.0946,0.089636,0.082151,0.029297,0.02753,-0.023,0.016353,-0.05728,-0.02214,-0.22591,-0.28525,0.075653,-0.12704,-0.03224
GSM1090368_nd_f,0.268594,-0.47603,-0.30638,-0.13493,0.032208,-0.04415,-0.00905,-0.44691,-0.13821,-0.21959,-0.15385,-0.09661,0.027959,0.068005,0.087621,-0.0915,-0.82557,0.03179,-0.83286,-0.19726,-0.08765,-0.18847,0.067656,-0.0228,0.123782,-0.09544,-0.09815,-0.0242,-0.01989,-0.00534,-0.02363,0.111516,-0.31209,-0.29376,-0.11755,-0.04103,-0.18244,0.176705,0.009795,0.126051,0.266283,-0.08548,0.189721,-0.13515,0.020062,0.077866,0.017081,0.02744,0.084574,0.090689,-0.24424,-0.02684,-0.19177,0.065285
GSM1090376_nd_f,0.287263,-0.43494,-0.28524,-0.11555,0.039498,-0.02138,0.044119,-0.4859,-0.07451,-0.17978,-0.15577,0.056594,0.131214,0.114368,0.05264,0.02382,-0.56199,0.032466,-0.78979,-0.33991,-0.06945,-0.07728,0.110605,0.072354,0.222082,-0.04843,-0.07536,-0.04,-0.03905,0.034608,-0.0613,0.023034,-0.41212,-0.43216,-0.27784,-0.58631,-0.20387,-0.09302,-0.03229,0.039131,0.152955,0.001282,0.206281,-0.05071,0.048699,0.061505,-0.04758,-0.26029,-0.03468,-0.34637,-0.48066,-0.01526,-0.15742,0.152807
GSM1090387_nd_f,0.473164,-0.24766,-0.25332,-0.25617,0.142882,-0.0415,0.045751,-0.11684,-0.01935,0.007706,-0.04256,0.130519,0.010262,0.110879,0.091423,-0.20795,-0.92903,0.127756,-0.46843,-0.27162,-0.00032,-0.01708,0.034956,0.113027,0.197935,-0.1749,-0.09469,-0.15729,0.06409,0.089177,-0.097,0.03841,-0.3561,-0.39915,-0.45768,-0.47526,-0.11135,-0.21491,-0.01131,0.004213,-0.02238,0.147716,0.056784,-0.08229,-0.05481,0.034516,0.019171,-0.19811,-0.08733,-0.42549,-0.602,0.138919,-0.26584,-0.01886
GSM1090267_alz_m,-1.54501,-0.29876,-0.17414,-0.18965,0.10993,0.059598,0.073931,-0.13074,0.087544,-0.05007,0.072191,0.119908,0.082909,0.104636,0.031521,-0.14284,-0.73883,-0.02616,-0.96698,-0.34815,0.028212,-0.01152,0.008947,0.011853,0.160156,-0.0071,-0.13188,-0.04605,-0.02121,0.06625,0.01372,0.059293,-0.30636,-0.28913,-0.46394,0.185056,-0.04869,0.116884,0.077389,0.041754,0.141267,0.016819,0.061986,-0.05714,0.066738,0.014429,0.031368,-0.01041,-0.07576,-0.09122,-0.10782,0.062439,-0.18521,-0.02236
GSM1090278_alz_m,-1.80843,0.404325,0.454421,0.295011,-0.12348,0.038867,0.173875,0.083789,-0.09126,-0.02223,-0.06957,-0.15643,-0.05275,-0.01472,0.018393,-0.10717,-0.48283,-0.18384,-0.04006,0.077985,-0.0904,0.011317,0.041581,-0.03748,-0.17293,-0.12,0.139379,0.154795,-0.13618,-0.18189,1.045105,0.384988,0.225574,0.220824,0.455429,0.267199,0.130784,0.085869,0.014034,-0.07221,-0.09175,-0.17348,-0.09197,0.02087,0.038312,0.15,0.322927,0.339974,0.131231,0.216433,0.531205,0.082588,-0.34506,0.176792
